"","drop","scale","log","off","abs","square","square - mean","square - x","cube","cube - x","cube - mean","cube - square","sqrt_abs","x[z]*x[,z + 1]"
"1",0.479333333333333,0.476555555555556,0.473111111111111,9,0.482333333333333,0.482333333333333,0.469666666666667,0.480444444444444,0.414444444444444,0.421777777777778,0.425,0.42,0.474444444444444,0.485777777777778
"2",0.478666666666667,0.483333333333333,0.488111111111111,3,0.482333333333333,0.475,0.464444444444444,0.474111111111111,0.471222222222222,0.472777777777778,0.462222222222222,0.468666666666667,0.480444444444444,0.479
"3",0.470888888888889,0.480222222222222,0.467333333333333,1,0.482333333333333,0.481777777777778,0.487777777777778,0.468888888888889,0.470222222222222,0.472222222222222,0.476222222222222,0.467444444444444,0.478888888888889,0.473333333333333
"4",0.477666666666667,0.464333333333333,0.475,1,0.482333333333333,0.480666666666667,0.485333333333333,0.484777777777778,0.48,0.477555555555556,0.481666666666667,0.480333333333333,0.475333333333333,0.488777777777778
"5",0.483666666666667,0.485666666666667,0.480444444444444,1,0.482333333333333,0.475555555555556,0.472777777777778,0.467888888888889,0.477666666666667,0.474333333333333,0.451222222222222,0.494444444444444,0.474,0.472888888888889
"6",0.483666666666667,0.456444444444444,0.479,1,0.482333333333333,0.48,0.483222222222222,0.481444444444444,0.485222222222222,0.472444444444444,0.474,0.480444444444444,0.480666666666667,0.477888888888889
"7",0.492777777777778,0.479666666666667,0.481888888888889,1,0.482333333333333,0.477888888888889,0.481222222222222,0.472888888888889,0.468,0.470666666666667,0.466444444444444,0.48,0.486777777777778,0.479222222222222
"8",0.477,0.477888888888889,0.474555555555556,1,0.482333333333333,0.472444444444444,0.467111111111111,0.471,0.464,0.477,0.454333333333333,0.478888888888889,0.483888888888889,0.466222222222222
"9",0.489666666666667,0.487333333333333,0.491111111111111,1,0.482333333333333,0.475111111111111,0.475555555555556,0.479666666666667,0.481888888888889,0.478222222222222,0.464,0.467111111111111,0.488444444444444,0.480444444444444
"10",0.486888888888889,0.485555555555556,0.483222222222222,1,0.482333333333333,0.477555555555556,0.480888888888889,0.461666666666667,0.483111111111111,0.467111111111111,0.478444444444444,0.483777777777778,0.489888888888889,0.474222222222222
"11",0.485333333333333,0.481333333333333,0.489777777777778,1,0.482333333333333,0.469111111111111,0.465222222222222,0.475333333333333,0.468333333333333,0.473222222222222,0.472222222222222,0.478,0.481555555555556,0.463666666666667
"12",0.465666666666667,0.467666666666667,0.478888888888889,2,0.482333333333333,0.459222222222222,0.457888888888889,0.472,0.477111111111111,0.486222222222222,0.477777777777778,0.477111111111111,0.487555555555556,0.480111111111111
"13",0.478444444444444,0.480222222222222,0.483666666666667,1,0.482333333333333,0.482333333333333,0.484111111111111,0.478444444444444,0.482333333333333,0.478444444444444,0.484111111111111,0.478444444444444,0.482333333333333,0.478444444444444
"14",0.480888888888889,0.484333333333333,0.469666666666667,1,0.482333333333333,0.482333333333333,0.475666666666667,0.480888888888889,0.482333333333333,0.480888888888889,0.475666666666667,0.480888888888889,0.482333333333333,0.480888888888889
"15",0.479,0.480444444444444,0.475222222222222,1,0.482333333333333,0.482333333333333,0.479222222222222,0.479,0.482333333333333,0.479,0.479222222222222,0.479,0.482333333333333,0.479
"16",0.482444444444444,0.467666666666667,0.482444444444444,1,0.482333333333333,0.482333333333333,0.478,0.482444444444444,0.482333333333333,0.482444444444444,0.478,0.482444444444444,0.482333333333333,0.482444444444444
"17",0.482,0.480666666666667,0.478333333333333,1,0.482333333333333,0.482333333333333,0.476444444444444,0.482,0.482333333333333,0.482,0.476444444444444,0.482,0.482333333333333,0.482
"18",0.482555555555556,0.480555555555556,0.473777777777778,1,0.482333333333333,0.482333333333333,0.479111111111111,0.482555555555556,0.482333333333333,0.482555555555556,0.479111111111111,0.482555555555556,0.482333333333333,0.472
"19",0.476222222222222,0.480777777777778,0.470555555555556,2,0.468,0.466666666666667,0.476444444444444,0.475,0.486666666666667,0.487333333333333,0.485222222222222,0.483222222222222,0.476888888888889,0.481555555555556
"20",0.487222222222222,0.479555555555556,0.487777777777778,1,0.482333333333333,0.472222222222222,0.472222222222222,0.478111111111111,0.0427777777777778,0.0427777777777778,0.0365555555555556,0.0427777777777778,0.479444444444444,0.464
"21",0.484111111111111,0.481777777777778,0.488111111111111,2,0.479222222222222,0.485333333333333,0.495555555555556,0.492888888888889,0.46,0.464555555555556,0.450888888888889,0.459444444444444,0.469444444444444,0.494777777777778
"22",0.486333333333333,0.485666666666667,0.49,1,0.482333333333333,0.471777777777778,0.468222222222222,0.473888888888889,0.395,0.395,0.262444444444444,0.395,0.483666666666667,NA
"23",0.491777777777778,0.496555555555556,0.496888888888889,1,0.482333333333333,0.436111111111111,0.463333333333333,0.467666666666667,0.464888888888889,0.464888888888889,0.464111111111111,0.464888888888889,0.482888888888889,0.491555555555556
"24",0.496888888888889,0.490666666666667,0.489444444444444,1,0.482333333333333,0.469555555555556,0.462777777777778,0.465,0.464888888888889,0.464888888888889,0.464111111111111,0.464888888888889,0.492777777777778,0.455888888888889
"25",0.471222222222222,0.472888888888889,0.474666666666667,2,0.475888888888889,0.490777777777778,0.495,0.488,0.475555555555556,0.470777777777778,0.465111111111111,0.477333333333333,0.483,0.492333333333333
"26",0.466555555555556,0.479222222222222,0.488555555555556,1,0.482333333333333,0.441222222222222,0.441888888888889,0.433666666666667,0.0345555555555556,0.0345555555555556,0.0337777777777778,0.0345555555555556,0.488111111111111,0.463111111111111
"27",0.486111111111111,0.496666666666667,0.475777777777778,1,0.482333333333333,0.450888888888889,0.461777777777778,0.456333333333333,0.454222222222222,0.461333333333333,0.464222222222222,0.459333333333333,0.479444444444444,0.475777777777778
"28",0.486111111111111,0.486555555555556,0.491,1,0.482333333333333,0.476222222222222,0.468555555555556,0.478333333333333,0.440777777777778,0.440666666666667,0.376777777777778,0.440666666666667,0.484888888888889,0.471777777777778
"29",0.490888888888889,0.495333333333333,0.492,1,0.482333333333333,0.476777777777778,0.481444444444444,0.480111111111111,0.440777777777778,0.440777777777778,0.380888888888889,0.440777777777778,0.483222222222222,0.472222222222222
"30",0.481555555555556,0.482,0.483,1,0.482333333333333,0.472,0.466666666666667,0.477111111111111,0.440777777777778,0.440777777777778,0.377555555555556,0.440777777777778,0.493222222222222,0.484111111111111
"31",0.482555555555556,0.476333333333333,0.478666666666667,1,0.482333333333333,0.482333333333333,0.481222222222222,0.482555555555556,0.482333333333333,0.482555555555556,0.481222222222222,0.482555555555556,0.482333333333333,0.482555555555556
"32",0.488222222222222,0.482888888888889,0.478888888888889,1,0.482333333333333,0.482333333333333,0.483333333333333,0.488222222222222,0.482333333333333,0.488222222222222,0.483333333333333,0.488222222222222,0.482333333333333,0.488222222222222
"33",0.478111111111111,0.481333333333333,0.475333333333333,1,0.482333333333333,0.482333333333333,0.483666666666667,0.478111111111111,0.482333333333333,0.478111111111111,0.483666666666667,0.478111111111111,0.482333333333333,0.478111111111111
"34",0.477111111111111,0.469444444444444,0.475111111111111,1,0.482333333333333,0.482333333333333,0.486888888888889,0.477111111111111,0.482333333333333,0.477111111111111,0.486888888888889,0.477111111111111,0.482333333333333,0.477111111111111
"35",0.484888888888889,0.478111111111111,0.480333333333333,1,0.482333333333333,0.482333333333333,0.485777777777778,0.484888888888889,0.482333333333333,0.484888888888889,0.485777777777778,0.484888888888889,0.482333333333333,0.484888888888889
"36",0.482111111111111,0.480777777777778,0.475666666666667,1,0.482333333333333,0.482333333333333,0.474666666666667,0.482111111111111,0.482333333333333,0.482111111111111,0.474666666666667,0.482111111111111,0.482333333333333,0.482111111111111
"37",0.483222222222222,0.478666666666667,0.476,1,0.482333333333333,0.482333333333333,0.467111111111111,0.483222222222222,0.482333333333333,0.483222222222222,0.467111111111111,0.483222222222222,0.482333333333333,0.482333333333333
"38",0.480666666666667,0.480444444444444,0.488111111111111,1,0.482333333333333,0.482333333333333,0.479888888888889,0.480666666666667,0.482333333333333,0.480666666666667,0.479888888888889,0.480666666666667,0.482333333333333,0.476
"39",0.480333333333333,0.471111111111111,0.475666666666667,1,0.482333333333333,0.481444444444444,0.475,0.476222222222222,0.479111111111111,0.479444444444444,0.486,0.479444444444444,0.475666666666667,0.479222222222222
"40",0.481666666666667,0.485222222222222,0.476444444444444,1,0.482333333333333,0.477444444444444,0.483,0.479333333333333,0.484,0.478666666666667,0.481,0.486444444444444,0.473555555555556,0.478111111111111
"41",0.485444444444444,0.487777777777778,0.480111111111111,1,0.482333333333333,0.478555555555556,0.478,0.486111111111111,0.477444444444444,0.484222222222222,0.487,0.487555555555556,0.486222222222222,0.485555555555556
"42",0.484111111111111,0.476,0.484,1,0.482333333333333,0.485666666666667,0.478555555555556,0.481555555555556,0.486111111111111,0.473,0.482555555555556,0.482555555555556,0.480777777777778,0.484444444444444
"43",0.486666666666667,0.479,0.482666666666667,1,0.482333333333333,0.470444444444444,0.478666666666667,0.481111111111111,0.480222222222222,0.481777777777778,0.473666666666667,0.481777777777778,0.486888888888889,0.483
"44",0.480222222222222,0.490555555555556,0.48,1,0.482333333333333,0.484666666666667,0.484666666666667,0.483333333333333,0.486222222222222,0.469444444444444,0.484777777777778,0.485444444444444,0.480777777777778,0.475555555555556
"45",0.488,0.477555555555556,0.48,1.377656850192,0.473666666666667,0.478444444444444,0.479222222222222,0.476777777777778,0.482888888888889,0.478222222222222,0.481888888888889,0.478444444444444,0.473666666666667,0.483888888888889
"46",0.477777777777778,0.480777777777778,0.469333333333333,1,0.482333333333333,0.479444444444444,0.482222222222222,0.478777777777778,0.478,0.472777777777778,0.481777777777778,0.477888888888889,0.477555555555556,0.479333333333333
"47",0.479222222222222,0.484888888888889,0.475777777777778,1,0.482333333333333,0.479111111111111,0.473,0.475666666666667,0.479222222222222,0.471777777777778,0.476888888888889,0.479,0.474666666666667,0.478444444444444
"48",0.477555555555556,0.489666666666667,0.476444444444444,1,0.482333333333333,0.481,0.473666666666667,0.477,0.478777777777778,0.481666666666667,0.479666666666667,0.477777777777778,0.476666666666667,0.477
"49",0.467888888888889,0.469,0.467666666666667,1,0.482333333333333,0.478,0.476111111111111,0.469777777777778,0.472777777777778,0.470777777777778,0.468666666666667,0.469111111111111,0.469888888888889,0.477111111111111
"50",0.482555555555556,0.484222222222222,0.480666666666667,1,0.482333333333333,0.487333333333333,0.482333333333333,0.478333333333333,0.480222222222222,0.478777777777778,0.480444444444444,0.481,0.478888888888889,0.481444444444444
"51",0.469777777777778,0.484444444444444,0.478444444444444,1,0.482333333333333,0.475666666666667,0.473333333333333,0.474666666666667,0.481333333333333,0.478111111111111,0.479777777777778,0.477444444444444,0.479444444444444,0.471888888888889
"52",0.486111111111111,0.480222222222222,0.479777777777778,1,0.482333333333333,0.482,0.482,0.486111111111111,0.481777777777778,0.485666666666667,0.477111111111111,0.483333333333333,0.477111111111111,0.482222222222222
"53",0.481666666666667,0.485,0.477555555555556,2,0.482333333333333,0.479777777777778,0.479444444444444,0.479111111111111,0.474333333333333,0.480777777777778,0.482888888888889,0.479,0.481,0.472666666666667
"54",0.478333333333333,0.477333333333333,0.486777777777778,2,0.482333333333333,0.477777777777778,0.474666666666667,0.478888888888889,0.479111111111111,0.473555555555556,0.478222222222222,0.481222222222222,0.474444444444444,0.473666666666667
"55",0.469777777777778,0.478666666666667,0.478333333333333,2,0.482333333333333,0.477888888888889,0.474111111111111,0.475555555555556,0.479,0.488222222222222,0.482444444444444,0.474666666666667,0.480777777777778,0.473333333333333
"56",0.479555555555556,0.478,0.476333333333333,1,0.482333333333333,0.476777777777778,0.481444444444444,0.478777777777778,0.478888888888889,0.478222222222222,0.479222222222222,0.486555555555556,0.469222222222222,0.471222222222222
"57",0.485777777777778,0.471888888888889,0.488111111111111,2,0.482555555555556,0.476222222222222,0.484444444444444,0.470555555555556,0.480444444444444,0.482111111111111,0.482888888888889,0.484888888888889,0.482444444444444,0.479444444444444
"58",0.476777777777778,0.481444444444444,0.477777777777778,1,0.482333333333333,0.468555555555556,0.478444444444444,0.490666666666667,0.476777777777778,0.478222222222222,0.477111111111111,0.481555555555556,0.477333333333333,0.481666666666667
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0
